id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,lat,long,posting_date
7314422954,chicago,52495,2017.0,tesla,model s 75d,fair,other,electric,49467.0,clean,automatic,4wd,full-size,other,grey,42.040729,-87.752954,2021-04-29T13:05:59-0500
7314422722,chicago,16999,2013.0,chevrolet,silverado 2500hd 4x4,fair,8 cylinders,gas,51916.0,clean,automatic,4wd,full-size,van,grey,42.348459,-87.885401,2021-04-29T13:05:33-0500
7314422642,chicago,42797,2018.0,jeep,wrangler,fair,5 cylinders,gas,35785.0,clean,automatic,4wd,full-size,SUV,black,42.28203,-87.936735,2021-04-29T13:05:26-0500
7314418293,chicago,0,2013.0,hyundai,azera,fair,5 cylinders,gas,104887.0,clean,automatic,4wd,full-size,offroad,grey,42.099444,-88.25489,2021-04-29T12:58:16-0500
7314415890,chicago,49999,2015.0,volvo,vnl 670,good,5 cylinders,diesel,706132.0,clean,manual,4wd,full-size,offroad,grey,41.9335,-88.0054,2021-04-29T12:54:17-0500
7314414808,chicago,0,2009.0,honda,fit,fair,5 cylinders,gas,78918.0,clean,automatic,4wd,full-size,offroad,grey,42.098706,-88.256607,2021-04-29T12:52:26-0500
7314414733,chicago,3800,2005.0,chrysler,town & country,good,6 cylinders,gas,80986.0,clean,automatic,fwd,full-size,mini-van,green,42.0546,-87.6943,2021-04-29T12:52:18-0500
7314413806,chicago,1200,2003.0,ford,explorer,fair,5 cylinders,gas,1.0,clean,automatic,fwd,full-size,SUV,grey,41.622595,-87.633814,2021-04-29T12:50:44-0500
7314413734,chicago,2300,2005.0,volvo,xc90,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,wagon,grey,41.622595,-87.633814,2021-04-29T12:50:36-0500
7314413386,chicago,5499,2002.0,lexus,rx,fair,5 cylinders,gas,160477.0,clean,automatic,4wd,full-size,wagon,grey,41.58571,-87.69504,2021-04-29T12:49:58-0500
